created_date,modified_date,category,asset_name,rate,rate_unit,asset_value
2024-03-03 08:00:00,2024-03-03 08:00:00,person,Quentin Channelcraft,365.00,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,person,Fiona Flickersworth,370.00,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,person,Winston Viewington,375.00,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,person,Penelope Broadcaston,380.00,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,person,Reginald Pixelmaster,310.00,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,person,Tabitha Dramaflick,320.00,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,person,Oliver Visionaire,330.00,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,person,Priscilla Reelington,340.00,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,person,Chester Spectaculo,350.00,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,room,roomName,,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,room,roomName,,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,room,roomName,,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,room,roomName,,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,room,roomName,,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,room,roomName,,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,room,roomName,,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,room,roomName,,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,room,roomName,,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,room,roomName,,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,room,roomName,,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,room,roomName,,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,room,roomName,,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,room,roomName,,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,room,roomName,,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,room,roomName,,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,room,roomName,,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,room,roomName,,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,room,roomName,,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,room,roomName,,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,room,roomName,,day,,
2024-03-03 08:00:00,2024-03-03 08:00:00,room,roomName,,day,,
